"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"SMA_Amphenol_132134-11_Vertical";1;"MHz 10 LPF";;;
2;"R30,R21,R6,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"100";;;
3;"J10,J9,J12,J11";"SMA_Amphenol_132289_EdgeMount";4;"MHz 25";;;
4;"Logo1";"F4LHU";1;"LOGO";;;
5;"U4";"WW107";1;"ERA-1SM+";;;
6;"C21,C2,C19,C23";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"100nF";;;
7;"J1,J2,J3";"SMA_Amphenol_132289_EdgeMount";3;"MHz 10";;;
8;"J4";"SMA_Amphenol_132289_EdgeMount";1;"MHz 10 Source";;;
9;"C10,C9,C7";"CP_EIA-7343-31_Kemet-D_HandSolder";3;"22uF";;;
10;"R25,R7,R8,R11,R34,R26,R33,R29,R27,R28,R4,R32,R31";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";13;"30";;;
11;"TP_VBUS1";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"+16V";;;
12;"Q2,Q1";"TO-92_Inline_Wide";2;"2N2222";;;
13;"R13,R18,R16";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"120R";;;
14;"U7";"SSOP-8_2.95x2.8mm_P0.65mm";1;"74LVC74";;;
15;"U2,U6,U3";"TO-220-3_Vertical";3;"LT1085-ADJ";;;
16;"R17,R12";"Potentiometer_Bourns_3299W_Vertical";2;"500R";;;
17;"C1,C14,C16,C15";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10nF";;;
18;"R23,R5";"Potentiometer_Bourns_3299W_Vertical";2;"5k";;;
19;"R20";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"160";;;
20;"C11,C24,C6";"CP_EIA-7343-31_Kemet-D_HandSolder";3;"47uF";;;
21;"C4,C12,C27,C8,C22,C20,C5,C3,C26,C18,C28,C29,C31,C30";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";14;"39nF";;;
22;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"330R";;;
23;"C13,C17";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1uF";;;
24;"U8,U1,U9";"SOIC-8_5.3x6.2mm_P1.27mm";3;"551MLFT";;;
25;"D1,D2";"LED_D3.0mm";2;"LED";;;
26;"R24,R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"5k1";;;
27;"J8";"BarrelJack_Horizontal";1;"Jack-DC";;;
28;"J13";"SMA_Amphenol_132289_EdgeMount";1;"MHz 50";;;
29;"TP4";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"MHZ50_B";;;
30;"U5";"WW107";1;"ERA-5SM+";;;
31;"TP3,TP_GND1,TP2";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";3;"Gnd";;;
32;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"220R";;;
33;"R14,R10,R22";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"00";;;
34;"L1,L2";"Minicircuits_GU1604";2;"TCCH-80+";;;
35;"J6";"PinHeader_2x07_P2.54mm_Vertical";1;"Conn_02x07_Odd_Even";;;
36;"J7";"SMA_Amphenol_132134-11_Vertical";1;"MHz 50 LPF";;;
37;"C25";"CP_EIA-7343-31_Kemet-D_HandSolder";1;"10uF";;;
38;"TP1";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"MHZ50_A";;;
39;"TP_P5V1";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"+5V";;;
40;"R15";"Potentiometer_Bourns_3299W_Vertical";1;"2k";;;
41;"R19";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"300";;;
42;"TP_P3V3";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"+3.3V";;;
43;"TP_P15V1";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"+15V";;;
